City,Case Count,Has Location (%),Has People (%),Has Applicant (no case),Has Owner (no case),Has Other Role,Has Description (%),Has Minutes (%),Agendas Link Score,Description Score,Total Score,Natural (Jenks) Breaks
Keller,203,98,93,87,89,10,100,49,100,100,725.83,A (Very Good)
Denton,460,95,93,91,58,14,100,49,100,100,700.41,A (Very Good)
University Park,17,100,88,82,53,29,100,45,100,100,697.86,A (Very Good)
Dallas,844,98,95,78,9,63,100,45,100,100,688.21,A (Very Good)
Cedar Hill,85,99,91,85,84,31,100,48,100,50,686.68,A (Very Good)
Coppell,81,86,84,75,51,31,100,49,100,100,675.85,A (Very Good)
North Richland Hills,142,96,91,89,29,20,100,49,100,100,673.77,A (Very Good)
Mesquite,288,92,92,92,40,6,100,50,100,100,671.33,A (Very Good)
Oak Point,83,100,72,64,57,31,100,45,100,100,668.89,A (Very Good)
Fort Worth,747,99,92,92,16,36,100,26,100,100,660.61,A (Very Good)
Sherman,323,99,98,16,97,83,100,56,0,100,649.81,A (Very Good)
Highland Village,25,100,100,80,72,28,100,49,100,0,628.94,A (Very Good)
Lewisville,208,97,59,53,54,4,100,49,100,100,616.88,A (Very Good)
Lake Dallas,35,97,71,63,43,34,100,5,100,100,613.42,A (Very Good)
Pilot Point,74,80,65,47,28,26,100,38,100,100,584.75,B (Good)
DeSoto,135,86,78,75,73,1,100,16,100,50,579.03,B (Good)
Cleburne,239,91,52,45,16,6,100,46,100,100,556.86,B (Good)
Glenn Heights,75,97,75,53,41,28,100,0,100,50,544.66,B (Good)
Forest Hill,10,100,90,90,20,0,100,44,0,100,544.44,B (Good)
Providence Village,57,98,95,84,63,14,98,41,0,50,543.9,B (Good)
Bedford,247,86,41,34,26,7,100,47,100,100,540.72,B (Good)
Watauga,19,89,89,63,74,32,100,44,0,50,540.54,B (Good)
Josephine,11,64,55,55,18,0,100,48,100,100,539.35,B (Good)
Melissa,202,100,83,82,10,1,100,60,100,0,536.49,B (Good)
Fairview,50,100,82,68,58,24,100,47,0,50,528.81,B (Good)
Garland,263,75,67,67,5,13,100,49,100,50,526.88,B (Good)
Haltom City,84,100,98,98,10,17,100,48,0,50,519.31,B (Good)
Princeton,155,96,85,80,3,5,100,45,100,0,514.14,B (Good)
Rowlett,129,93,78,74,62,8,100,46,0,50,511.31,B (Good)
Crowley,14,100,71,36,14,36,100,48,0,100,505.14,B (Good)
Sachse,28,94,93,90,90,3,99,34,0,0,502.94,B (Good)
Frisco,956,99,100,2,99,0,100,50,0,50,499.8,B (Good)
Grapevine,223,93,82,78,17,19,100,7,0,100,495.5,B (Good)
Trophy Club,28,100,75,71,36,18,100,35,0,50,484.88,B (Good)
Mansfield,121,89,75,37,36,46,100,0,100,0,483.83,B (Good)
Anna,334,88,97,73,28,2,100,44,0,50,481.58,B (Good)
Richland Hills,48,85,69,63,52,13,100,43,0,50,473.94,B (Good)
Aubrey,69,97,81,75,16,6,100,47,0,50,472.43,B (Good)
Argyle,85,98,78,78,15,0,100,99,0,0,468.3,B (Good)
Flower Mound,137,95,74,73,17,7,100,50,0,50,465.71,B (Good)
Lavon,139,99,73,52,12,31,100,49,0,50,465.5,B (Good)
Weatherford,142,96,75,71,10,15,100,49,0,50,465.33,B (Good)
Denison,246,92,63,44,27,19,100,51,0,50,445.36,C (Normal)
Plano,605,93,100,84,2,16,100,49,0,0,443.86,C (Normal)
Balch Springs,147,87,67,65,22,1,100,49,0,50,441.72,C (Normal)
Collinsville,5,100,40,0,40,0,100,50,0,100,429.79,C (Normal)
Lancaster,203,95,37,27,11,4,100,48,100,0,422.04,C (Normal)
Mineral Wells,74,100,97,96,16,3,100,3,0,0,414.5,C (Normal)
Gunter,60,97,63,58,23,8,100,59,0,0,409.2,C (Normal)
Azle,51,98,53,22,14,29,100,42,0,50,407.76,C (Normal)
Red Oak,130,95,95,95,4,1,100,18,0,0,406.96,C (Normal)
Little Elm,208,97,25,21,4,8,100,49,100,0,403.2,C (Normal)
Fate,117,78,54,47,9,11,100,0,100,0,398.67,C (Normal)
McKinney,273,95,27,26,4,4,100,42,100,0,398.11,C (Normal)
Arlington,393,97,0,0,0,0,100,48,100,50,394.89,C (Normal)
Southlake,59,98,66,66,8,8,100,48,0,0,394.7,C (Normal)
Terrell,166,89,15,12,3,2,100,22,100,50,393.3,C (Normal)
Forney,234,98,19,14,1,7,100,45,100,0,383.99,C (Normal)
Van Alstyne,161,98,9,6,2,1,100,14,100,50,380.67,C (Normal)
Addison,22,100,36,0,0,36,100,0,100,0,372.36,C (Normal)
Seagoville,45,98,53,36,24,11,100,48,0,0,370.39,C (Normal)
Farmersville,76,93,33,16,5,17,100,48,0,50,362.6,C (Normal)
Irving,72,93,18,18,0,7,100,68,0,50,354.42,C (Normal)
Greenville,46,93,64,47,20,14,100,11,0,0,349.05,C (Normal)
Grand Prairie,461,97,45,40,5,13,100,49,0,0,348.75,C (Normal)
Farmers Branch,99,74,6,6,2,1,100,0,100,50,339.09,D (Poor)
Haslet,53,81,2,0,0,2,100,0,100,50,334.89,D (Poor)
Caddo Mills,32,97,16,3,9,9,100,49,0,50,334.1,D (Poor)
Gainesville,50,98,34,26,18,4,100,49,0,0,328.98,D (Poor)
Burleson,148,91,66,0,0,66,100,0,0,0,323.22,D (Poor)
Allen,122,96,7,7,0,0,100,0,100,0,309.56,D (Poor)
Celina,113,97,31,28,5,2,100,46,0,0,309.55,D (Poor)
Prosper,295,98,20,18,1,4,100,50,0,0,291.14,D (Poor)
Midlothian,201,98,20,17,1,1,100,51,0,0,288.93,D (Poor)
Shady Shores,40,95,28,25,3,3,100,25,0,0,277.53,D (Poor)
Sanger,283,89,16,7,3,8,100,47,0,0,271.26,D (Poor)
Royse City,252,87,2,1,0,0,100,49,0,0,239.67,D (Poor)
White Settlement,17,100,0,0,0,0,100,0,0,0,200,D (Poor)
Colleyville,237,91,0,0,0,0,100,0,0,0,191.42,D (Poor)